,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 1 - Population and basic demographics by parish and comparison geographies, New Orleans metro 2000-2018",,,,,,,,,,,,,,,,,,,,,,,
"Released July 28, 2020",,,,,,,,,,,,,,,,,,,,,,,
****Scroll down for data dictionary****,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Orleans,,,,,,,,,,,,,,,,,,,,,,
2006,"11,146","40,560",811,"1,634","2,236",210,"2,046","8,683","67,326",,,,,,,,,,,,,,
2007,"13,223","44,916",847,"2,254","2,382",224,"2,092","9,332","75,270",,,,,,,,,,,,,,
2008,"15,237","47,951",953,"2,687","2,445",222,"2,184","10,009","81,688",,,,,,,,,,,,,,
2009,"16,862","51,308","1,057","3,112","2,535",261,"2,162","10,395","87,692",,,,,,,,,,,,,,
2010,"18,051","53,702","1,067","3,309","2,648",256,"2,175","10,970","92,178",,,,,,,,,,,,,,
2011,"18,981","56,205","1,205","3,718","2,661",272,"2,255","11,592","96,889",,,,,,,,,,,,,,
2012,"19,561","57,256","1,315","3,930","2,775",289,"2,262","11,882","99,270",,,,,,,,,,,,,,
2013,"20,473","58,496","1,395","4,163","2,836",323,"2,275","12,280","102,241",,,,,,,,,,,,,,
2014,"20,648","59,716","1,463","4,341","2,951",331,"2,386","12,797","104,633",,,,,,,,,,,,,,
2015,"21,088","61,183","1,599","4,577","3,067",316,"2,470","13,270","107,570",,,,,,,,,,,,,,
2016,"21,373","62,595","1,614","4,558","3,183",345,"2,515","13,833","110,016",,,,,,,,,,,,,,
2017,"21,427","63,322","1,710","4,542","3,227",363,"2,614","14,436","111,641",,,,,,,,,,,,,,
2018,"21,696","63,894","1,804","4,721","3,302",359,"2,711","14,788","113,275",,,,,,,,,,,,,,
2019,"21,484","64,527","1,826","4,876","3,384",387,"2,857","15,316","114,657",,,,,,,,,,,,,,
"Source: The Data Center analysis of U.S. Census Bureau data from Census 2000, 2010, Intercensal Estimates 2006-2009, and Population Estimates 2019.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Orleans,,Jefferson,,New Orleans Metro,,United States,,,,,,,,,,,,,,,,
,2018,,2018,,2018,,2018,,,,,,,,,,,,,,,,
Hispanic origin,,,,,,,,,,,,,,,,,,,,,,,
Cuban,7%,,6%,n.s,6%,,4%,,,,,,,,,,,,,,,,
Dominican,2%,n.s,8%,n.s,5%,n.s,3%,,,,,,,,,,,,,,,,
Mexican,27%,,18%,,20%,,62%,,,,,,,,,,,,,,,,
Puerto Rican,4%,,5%,,6%,,10%,,,,,,,,,,,,,,,,
Honduran,20%,,38%,,29%,,2%,,,,,,,,,,,,,,,,
Guatemalan,6%,,5%,n.s,4%,n.s,3%,,,,,,,,,,,,,,,,
Nicaraguan,3%,n.s,5%,,4%,,1%,,,,,,,,,,,,,,,,
Salvadoran,2%,,3%,n.s,3%,n.s,4%,,,,,,,,,,,,,,,,
Other Central American,0%,n.s,0%,n.s,0%,n.s,0%,,,,,,,,,,,,,,,,
